,ac picco picco,dc Vmax,dc error mv,ac error mv,media cicli dc,3.5 ms scala
99.72,2.04,8.6,330,280,7.614,
130,1.705,8.715,330,240,7.86,
180,1.322,8.816,210,184,8.1555,
200,1.225,8.827,260,164,8.22,
250,1.014,8.896,230,140,8.38,
299,0.879,8.93,210,120,8.48,
349,0.764,8.968,220,104,8.576,
399,0.691,9,220,92,8.632,
501,0.55,9.005,220,76,8.739,
569,0.496,9.044,220,68,8.8,
649,0.445,9.08,220,62,8.858,
719,0.402,9.103,220,56,8.899,
802,0.371,9.109,220,52,8.919,
1097,0.271,9.156,220,40,9.012,
1467,0.205,9.202,220,30,9.078,
2095,0.15,9.218,220,22,9.142,
2992,0.107,9.253,220,16,9.19,
3791,0.087,9.254,220,13,9.204,
4789,0.068,9.283,210,10,9.247,
6504,0.052,9.302,210,8,9.272,
8980,0.038,9.338,210,6,9.315,
12503,0.027,9.351,210,4,9.336,
14997,0.021,9.366,210,3,,
17992,0.018,9.382,210,3,,
21967,0.015,9.412,210,3,,
25459,0.013,9.425,210,2,,
29964,0.011,9.431,210,2,,
1E+021,0.00018,9.772,210,1,,
